0.5 15 4 12
37 52 6

Coordinates
1      0.89286     -0.15625      0.75646
2      0.89286      0.31027      0.56456
3      0.35268     -0.15625      0.78493
4       0.4644      0.54353     -0.56784   
5      0.89286      0.77679     -0.80909
6     0.017556      0.32778         1.02
7      -0.1875     -0.15625      0.35535
8      0.51384         1.01      0.56778
9     0.067399      0.82148      0.76890  
10      0.89286       1.2433     0.56778
11     -0.47437      0.41875     0.34576
12     -0.72768     -0.15625     0.67090   
13    -0.092357       1.2092     0.34356
14      0.44792       1.4766     0.56754
15     -0.54327       0.9939     0.56788
16      0.89286       1.7098     0.46788
17     -0.95095      0.30641     0.20202
18     0.004798       1.7307     0.65789
19     -0.99617      0.79417     0.56790
20      -1.2679     -0.15625     0.48962
21     -0.49675       1.6151     1.67895
22      0.89286       2.1763        1.05
23     -0.95285       1.2718     0.12314
24      -1.3796      0.54353     0.56745
25      0.35268       2.1763     0.67849
26      -0.1875       2.1763     0.43567
27      -1.4002         1.01     0.34567
28     -0.91929       1.7704     0.45464
29       -1.808     -0.15625     0.45632
30       -1.808      0.31027     0.45647
31      -1.3594       1.5303     0.45454
32     -0.72768       2.1763     0.35677
33       -1.808      0.77679     0.98989
34       -1.808       1.2433     0.76859
35      -1.2679       2.1763     0.34577
36       -1.808       1.7098    -0.45678
37       -1.808       2.1763    -0.34534
38       -1.902       1.3432    -0.67565
39       -0.456       1.4456     0.56970
40       -0.389       1.3456     1.23467
41      -1.3506       1.9780     0.56578
42      -1.4567       0.5678     1.45677
43      -1.3456       0.5448     1.44545
44      0.5444       -1.2354     0.45678
  
EndCoordinates

Elements
1 37 36 35
2 30 29 20
3 10 16 14
4 34 33 27
5 2 5 4
6 36 34 31
7 31 34 27
8 36 31 35
9 1 2 3
10 16 22 25
11 33 30 24
12 5 10 8
13 8 10 14
14 5 8 4
15 31 27 23
16 4 8 9
17 27 33 24
18 27 24 19
19 19 24 17
20 27 19 23
21 8 13 9
22 4 9 6
23 23 19 15
24 2 4 3
25 24 30 20
26 17 24 20
27 19 17 11
28 15 19 11
29 15 11 9
30 23 15 21
31 6 9 11
32 4 6 3
33 11 17 12
34 21 15 13
35 23 21 28
36 13 15 9
37 13 8 14
38 21 13 18
39 28 21 32
40 28 32 35
41 23 28 31
42 18 13 14
43 21 26 32
44 14 16 25
45 12 17 20
46 28 35 31
47 7 3 6
48 7 6 11
49 26 21 18
50 26 18 25
51 12 7 11
52 18 14 25
53 19 8 15
54 20 13 35
55 21 25 45
56 22 24 55
57 23 34 65
58 24 44 75
59 25 54 15
60 26 64 44
61 27 74 24
62 28 56 34  
63 29 78 57
64 30 90 68
65 31 45 89
66 32 32 90
67 33 11 76
68 34 12 87
69 35 16 56
70 36 78 98
71 37 56 88
72 38 79 55
73 39 70 41
74 40 34 56
75 41 74 73
76 42 45 13
77 43 67 12
78 44 87 11
79 45 45 10
80 46 32 9
81 47 44 8
82 48 33 7
83 49 22 6
84 50 11 5
85 51 65 4
86 52 66 3
87 53 54 2
88 54 32 1
89 55 31 56
90 56 54 34
91 57 67 56
92 58 78 47
93 59 79 67
94 60 89 87
95 61 89 99
96 62 70 67
97 63 80 78
98 64 77 99
99 65 67 100
EndElements

Dirichlet
29           10
30           10
33           10
34           10
36           10
37           10
EndDirichlet

Neumann
1            3
2            3
5            3
10            3
16            3
22            3
EndNeumann
